conference_paper_id,paper_id,filename,page_start,page_end,number_of_pages,DOI,topic_id,authors,organisations,,title,keywords,abstract,conference_id
,1271,,,,,,,"Yu, Tammie; Wang, Taoning; Gehbauer, Christoph","Lawrence Berkeley National Laboratory, United States of America",,High-Fidelity Building Emulator for Integrated Comfort and Energy Analysis using EnergyPlus and Radiance,"EnergyPlus, Radiance, daylight modeling, co-simulation, advanced control","The growing need for smart, energy-efficient, and occupant-centric buildings has created a demand for advanced control systems that can optimize building operations to balance energy savings, demand flexibility, and comfort. However, current building energy simulation tools, such as EnergyPlus, have limitations that hinder the development and evaluation of these complex control systems. To address this challenge, we introduce a high-fidelity building emulator that dynamically couples EnergyPlus with Radiance for enhanced daylight modeling. The introduced workflow allows researchers and practitioners to rapidly develop and evaluate innovative control solutions. An example study looking at a south-facing office zone revealed up to 67% deviation in predicted light levels, which can significantly impact building assessment.",simbuild2026
,1272,,,,,,,"Wu, Chengde","Iowa State University, United States of America",,Simulating the Impact of Photovoltaic Cell Temperature on Electricity Production under Various Global Climates,"Photovoltaics, PV simulation, Cell Temperature, PVWatts model, Simple Model","Photovoltaic (PV) cell temperature has been known to impact electricity production. Simulation models that disregard the impact of cell temperature on PV efficiency often overpredict or underpredict power output. This study investigates the impact of cell temperature on PV efficiency across 13,265 locations globally through more than half a million simulations. The simulation results showed that the Simple Model, which does not take cell temperature into account in PV simulation, had -5% to +10% of differences in annual electricity production for the vast majority of the locations. The Simple Model also showed an average Normalized Mean Absolute Error (NMAE) of up to 8% and a maximum NMAE of more than 30% in monthly electricity production. Based on the simulation results, a pair of regression models were trained for more accurate results than the Simple Model yet simple enough to be used for back-of-the-envelope calculations. The Modified Simple Model showed reduced prediction errors of 2.34% for the tropic zone and 1.89% for non-tropic zones when compared to the errors of 6.21% and 3.28% respectively by the original Simple Model.",simbuild2026
,1274,,,,,,,"Kurtz, Nathan (1,2); Ganesh, Viswanathan (1); Marucci, Leah (1); Zuo, Wangda (1,3)","1: Pennsylvania State University, University Park, PA; 2: PAE Engineers, Portland, OR; 3: National Laboratory of the Rockies, Golden, CO",,Optimized Control for Integrated Photovoltaic and Water Distribution System Applications,"PVWDS, Control, Hybrid System, Water-Energy Nexus","Optimal control of integrated photovoltaic and water distribution systems is essential for maximizing community benefits. This study investigates the optimization of such controls in a real-world installation in Makassar, Indonesia, where achieving optimal performance is critical given the absence of grid export capabilities for residential users. Building on previously developed Modelica models of the existing system, an integrated hierarchical control strategy is designed to coordinate the operations of the battery, pump, and inverter. Daily simulations illustrate the interactions between the supervisory and local controllers. Annual simulations show that the proposed control consumes 14\% less energy than the existing methodologies. When evaluated under dynamic utility pricing structures, the control strategy further reduces energy usage by an additional 6\% and can save up to 25\% in utility costs. The results highlight the advantages of implementing robust hierarchical controls in integrated systems and their potential to be optimized and calibrated for greater community support.",simbuild2026
,1276,,,,,,,"Mohajerzadeh, Zia (1); Elmi, Mohammad (1); Nozariasbmarz, Amin (2); Wang, Julian (1); Azari, Rahman (1)","1: Pennsylvania State University, United States of America; 2: Rowan University, United States of America",,Experimental Demonstration of a Self-Powered Dynamic Façade Using Thermoelectric–PCM Integration,Thermal Energy Harvesting; Thermoelectric Generator; Building Envelope; Phase Change Materials; Dynamic Façade,"This study presents a self-powered dynamic façade integrating thermoelectric generators (TEGs) with phase change materials (PCMs) to convert temperature gradients into electricity for automated shading. A prototype with two 40 mm × 40 mm TEGs and a 29 °C PCM was tested in a solar chamber and outdoors. Solar chamber experiments charged a 1.5 V supercapacitor to 1.0 V, which intermittently powered a DC motor to rotate an aluminum louver. Optical–thermal enhancement using a Fresnel lens and acrylic dome improved voltage output by 20%, demonstrating a scalable pathway toward autonomous façade operation and reduced building energy demand.",simbuild2026
,1277,,,,,,,"Ganesh, Viswanathan (1); Li, Hongjun (1); Ho, Julia (1); Zuo, Wangda (1,2)","1: Pennsylvania State University, United States of America; 2: National Laboratory of the Rockies, Golden, CO",,Wet-Bulb Temperature Performance Maps for Chiller-Water Side Economizer Plants: Guiding Multi-Sequence Control Strategies,"Chi-WSE, Control Sequence Evaluation, Tower Priority, Chiller Priority, Performance Map","Chiller-Water-Side Economizer (WSE) plants are widely adopted in data centers and commercial buildings because they leverage ambient wet-bulb conditions to provide free cooling, offering significant savings compared to chiller-only operation. However, current practice lacks systematic evaluation; design engineers select critical operational sequences (like tower priority versus chiller priority) primarily based on experience. No comprehensive study compares these sequences across multiple ASHRAE climate conditions to provide a consistent guideline for selecting an appropriate sequence as a starting point. To address this research gap, this work proposes developing wet-bulb temperature based performance maps as a decision-support. We utilize a high-fidelity co-simulation environment, modeling the Chiller-WSE plant architecture using Modelica models (encapsulating thermodynamics and control logic) exported as Functional Mock-up Units (FMUs). The methodology involves a cross-climate evaluation across representative ASHRAE climate zones for two sequences: chiller-priority (chillers engage first) and tower-priority (cooling tower maximized for cold water inlet).

Simulation outputs capture total HVAC energy consumption (kWh), which is aggregated into designer-ready performance maps that delineate sequence decision boundaries. The results, plotted for climate zones 1A to 4C, show clear distinctions for the optimal control sequence. Specifically, we observed different operational zones of distinction in the range of -4°C to 11°C where tower priority and 11°C to 17°C chiller priority sequence can save energy compared to the other. This case study provides designers with data-driven tools, demonstrating the energy-saving potential achieved through the systematic selection of the optimal control sequence.",simbuild2026
,1278,,,,,,,"Guo, Fangzhou (1); Shen, Yang (2); Ham, Sang woo (1); Kim, Donghun (1)","1: Lawrence Berkeley National Lab; 2: University of Washington, United States of America",,Development of a Hybrid Simulation Platform for Training and Evaluation of Reinforcement Learning Algorithms for Commercial Buildings,Reinforcement learning; hybrid simulation platform; Smart building; Air conditioning; Energy efficiency,"This paper presents a hybrid simulation platform for training and evaluating reinforcement learning (RL) controllers for the energy optimization of commercial buildings. The platform integrates dynamic models of HVAC systems and building envelopes, providing a realistic and flexible simulation environment for RL algorithm development. The platform's modular design allows for easy customization of HVAC system and building configurations, reducing the effort required to create simulation models. The simulator is sufficiently accurate and relatively simple, enabling efficient training and evaluation of RL agents with minimal computational resources. A case study demonstrates the effectiveness of the platform in training an RL controller to optimize energy consumption while maintaining indoor thermal comfort. The developed platform has the potential to accelerate the adoption of RL algorithms for building energy optimization, enabling significant energy savings and improved indoor environmental quality. The platform's features, including template-based modeling and flexible simulation capabilities, make it an attractive solution for researchers and practitioners seeking to develop and deploy RL controllers for building energy systems.",simbuild2026
,1279,,,,,,,"Li, Hang; Chowdhury, Shovan; Singh, Vivek; New, Joshua","Oak Ridge National Laboratory, United States of America",,A Framework for Generating and Simulating Prototype Energy Models of U.S. Data Centers at National Scale,"Data Center Modeling, Urban Building Energy Modeling, AutoBEM, Electricity Demand, Regional Benchmarking","The rapid expansion of data centers, driven by artificial intelligence (AI) and cloud computing, has made them one of the fastest-growing contributors to global electricity demand. In the United States, data centers are projected to account for up to 9% of total electricity generation by 2030, underscoring the urgent need for scalable modeling tools to quantify their energy and environmental impacts. The current study introduces a national-scale framework for generating and simulating prototype energy models of U.S. data centers using the Automatic Building Energy Modeling (AutoBEM) platform and the Model America Version 2 (MAv2) dataset. The framework automatically integrates spatial information from the IM3 Data Center Atlas, links each facility to the corresponding MAv2 footprint, and produces OpenStudio/EnergyPlus models that include local TMY3 weather data, internal load profiles for high and low information technology equipment (ITE) densities, and representative HVAC configurations such as CRAC and CRAH systems. A demonstration using the 1001 Texas Data Center validated the framework’s performance, with simulated end-use shares aligning closely with published benchmarks for IT equipment (40–50%) and cooling systems (30–40%). Regional simulations further showed agreement with Electric Power Research Institute (EPRI) inventory estimates within plausible uncertainty ranges: Chicago (278.9 MW vs. 342.0 MW) and New York Tri-State (245.8 MW vs. 178.0 MW). This consistency confirms AutoBEM’s ability to capture regional-scale energy use patterns and represents a foundation for developing a digital twin of the national data center fleet to support forecasting, scenario analysis, and climate impact assessment.",simbuild2026
,1280,,,,,,,"Sena, Sanjaya; Goyal, Rahul; Tyagi, S. K.","Department of Energy Science and Engineering, Indian Institute of Technology Delhi, New Delhi, India",,Numerical Simulation of Heat Transfer in an Un-Conditioned Underground Building: Spatiotemporal Variation of Indoor Surface Heat Transfer Coefficient,"CFD, GCHT, natural convection, ground temperature, basement","The heat transfer coefficient (HTC) is critical in building energy simulation, governing the rate of heat exchange in indoor and outdoor surfaces. Earlier studies often assumed a constant indoor surface HTC, which can misrepresent actual thermal loads in underground buildings (UBs). This study numerically investigates heat transfer in a real-size un-conditioned UB with surrounding soil medium, emphasizing the spatiotemporal variation of indoor surface convective HTC. Three-dimensional largeeddy simulation (LES) combined with WALE sub-grid scale model and Boussinesq approximation was used for solving coupled energy and flow equations at four representative soil steady-states over an annual cycle. Results reveal relatively uniform spatial distribution of convective HTC across indoor surfaces but noticeable temporal fluctuations driven by seasonal changes in soil temperature. Depending on the indoor air movement, natural convection or stagnant air, the convective HTC can vary from 1.8 W/m2K to 0.03 W/m2K. The findings demonstrate that dynamic HTC is more necessary compared to surface-specific HTC values for accurate thermal load estimation in UBs.",simbuild2026
,1281,,,,,,,"Yu, Min Gyung; Schad, Alexander; Johnson, Stephanie; Goddard, James; Yoder, Tim; Duan, Xiaoli; Salsbury, Timothy","Pacific Northwest National Lab, United States of America",,Economizer Scoring Framework for AHU Performance Assessment,"economizer performance, thermodynamic modeling, statistical scoring, performance indicator, building energy management","This paper introduces a data-driven method for assessing economizer performance in air handling units (AHUs) using a combination of physics-based modeling and statistical scoring. The method first employs a thermodynamic AHU model to estimate thermal energy consumption under both actual (monitored) and reference (idealized) economizer operation. The difference between these energy estimates, defined as the energy deviation, reflects the operational performance of each AHU. A probability distribution is then fitted to the deviation data for each system. The cumulative probability is then used as the basis for a normalized performance indicator across systems. Validation across 15 AHUs demonstrated that the proposed method consistently identified units with control faults or inefficient operation. The approach is easily scalable across large numbers of systems, making it an effective tool for large-scale building energy management and maintenance prioritization.",simbuild2026
,1282,,,,,,,"Xie, Kexin; Rovas, Dimitrios; Tang, Rui","University College London, United Kingdom",,Profiling Building Demand Flexibility for Out-of-Scenario Transferability Using Frequency-Domain Decomposition,"Data mining, Unsupervised Learning, Fourier Transform, Energy Flexibility","Building demand flexibility plays a critical role in balancing supply and demand in low-carbon energy systems, yet profiling flexibility behaviours across diverse buildings remains challenging due to their context-dependent nature. This study presents a data-driven framework to profile time-series demand flexibility behaviours in buildings, aiming for transferability across varying event designs and weather conditions. Using Fast Fourier Transform (FFT)-based decomposition, the method extracts event-independent flexibility patterns and quantifies contextual variations, enabling the derivation of interpretable descriptors. Applied to a synthetic dataset of 2,000 UK office buildings under varied demand response scenarios, the approach identifies representative flexibility behaviour types with potential in transferability to unseen events. This framework is expected to provide a foundation for future work in scalable building classification and time-series prediction of demand-side flexibility.",simbuild2026
