Conference Paper Id,Paper Id,Filename,Page Start,Page End,Number Of Pages,DOI,Topic Id,Authors,Organisations,Title,Keywords,Abstract,Conference Id
simbuild2004_SB04T1A1,SB04T1A1,https://publications.ibpsa.org/proceedings/simbuild/2004/papers/simbuild2004_SB04T1A1.pdf,1,11,11,,,"Tamar, Bleiberg;  Edna, Shaviv","Technion - Israel Institute of Technology, Haifa, Israel",Sunshades and Their Acoustical Performance,,"Acoustics and climate are two aspects which are taken into consideration in the design of a building. These areas share many similarities, and yet, not much study has been done regarding the possible conflicting issues between them. A research was conducted in order to reveal these conflicts, by comparing the influence on acoustical conditions with the influence on climatic conditions of several design parameters. The focus of the research was on the acoustical performance of sunshades. For this purpose, a computerized model, APS, was developed and used to create different geometries of climatically satisfying horizontal sunshades, and evaluate their influence on acoustical conditions inside a room. This paper presents the importance of developing such a model as a tool for architects and climatic designers for a better acoustical-oriented design of sunshades.",simbuild2004
simbuild2004_SB04T1A2,SB04T1A2,https://publications.ibpsa.org/proceedings/simbuild/2004/papers/simbuild2004_SB04T1A2.pdf,12,19,8,,,"Peter G., Ellis;  Richard J., Strand;  Kurt T., Baumgartner","National Renewable Energy Laboratory, Golden, CO; School of Architecture, University of Illinois at Urbana-Champaign, Champaign, IL",Simulation of Tubular Daylighting Devices and Daylighting Shelves in EnergyPlus,,"Tubular daylighting devices (TDDs) and daylighting shelves are two methods for bringing natural exterior daylight into the hard-to-reach, interior spaces of a building. Recently two models to simulate these devices were added to the EnergyPlus whole-building energy analysis program. In addition to modeling their daylighting effects, solar gains and conductive/ convective heat transfer are also integrated into the zone heat balance. This paper presents an overview of the concepts and algorithms implemented in EnergyPlus to simulate TDDs and daylighting shelves. Preliminary testing efforts are also described.",simbuild2004
simbuild2004_SB04T1A3,SB04T1A3,https://publications.ibpsa.org/proceedings/simbuild/2004/papers/simbuild2004_SB04T1A3.pdf,20,29,10,,,"Chanvit, Chantrasrisalai;  Daniel E., Fisher","Department of Mechanical and Aerospace Engineering, Oklahoma State University, Stillwater, USA ",Comparative Analysis of One-Dimensional Slat-Type Blind Models,,"Slat-type blinds, such as Venetian blinds, are the most commonly used shading devices for controlling solar heat gain. This study presents a comparative analysis of three one-dimensional, optical slat-type blind models suitable for building load calculations. The influence of input parameters on the predicted solar transmittance is investigated. The models are also compared to experimental data. Furthermore, the effect of the blind on building thermal loads is investigated. The results indicate that there is a need for a comprehensive optical blind model that includes advantageous features from each of the three models. In addition, a general thermal fenestration model that predicts the thermal interaction of the fenestration system having the blind with the conditioned space is needed in order to utilize onedimensional blind models in thermal load and energy calculations.",simbuild2004
simbuild2004_SB04T1B1,SB04T1B1,https://publications.ibpsa.org/proceedings/simbuild/2004/papers/simbuild2004_SB04T1B1.pdf,30,38,9,,,"Peter, Alspach; Isabelle, Lavedrine ","ARUP, San Francisco, CA ",Design and Optimization of Displacment Ventilation Systems in Large Retail Stores,,"This paper describes the use of combined thermal and computational fluid dynamics (CFD) analysis for the design of an inverted displacement ventilation system in a large retail store. The analysis was used to demonstrate the system performance and energy savings to the owner, in order to facilitate the acceptance of the system and replacement of the owner's standard overhead mixing, plenum box air supply. The CFD analysis demonstrated that the proposed system would perform as intended, would meet the owner's temperature requirements, and would improve the design by optimizing supply temperature and volumetric flow rate. A life cycle cost analysis showed the possible economic benefits for the proposed displacement ventilation system compared to the owner's standard system. The proposed building site is situated near Dallas, Texas. Once built, the owner will monitor the store with displacement ventilation and compare its energy performance with a nearby store utilizing their standard, overhead plenum-box system. This comparison will be made public following the analysis period in a separate report by the owner.",simbuild2004
simbuild2004_SB04T1B2,SB04T1B2,https://publications.ibpsa.org/proceedings/simbuild/2004/papers/simbuild2004_SB04T1B2.pdf,39,45,7,,,"Q. A., Liu;  P. F., Linden","University of California, San Diego, Department of Mechanical and Aerospace Engineering",An Extended Model for Under Floor Air Distribution,,"Previous work on an Underfloor Air Distribution (UFAD) system with a single heat source and a single cooling diffuser at floor level developed by Lin (2003) has been extended to study the effects of the vertical location of the heat source and of multiple cooling diffusers. This is an attempt to produce more realistic models of UFAD systems. Both experimental and theoretical modeling are described in this paper. In the experiments, a plume and fountains represent a heat source and cooling diffusers, respectively. The experiments suggest how the entrainment rate of ambient fluid into the fountain at the interface changes with the local Richardson number. They show that for a fixed ventilation rate, as the source elevation is increased, the return temperature remains unchanged and the height of the cooler, lower zone increases. The effect of multiple cooling diffusers is to decrease the height and the temperature of the cooler zone for a fixed ventilation rate, and to cool both layers for a fixed under floor plenum pressure.",simbuild2004
simbuild2004_SB04T1B3,SB04T1B3,https://publications.ibpsa.org/proceedings/simbuild/2004/papers/simbuild2004_SB04T1B3.pdf,46,50,5,,,"P. F., Linden;  I., Kanda;  D., Yamaguchi","University of California, San Diego, Department of Mechanical and Aerospace Engineering",Flow in an Underfloor Plenum,,"We describe the flow in an underfloor plenum. We show that the geometry of the plenum causes the flow to exhibit two-dimensional dynamics and to develop flow patterns that are determined by the inlets of the underfloor into the plenum void. We describe laboratory experiments that simulate these flows and also show that the location and number of diffusers in the plenum has little effect on the underfloor flow. Depending on the location of the inlets to the plenum, the flow can exhibit complex vortex patterns and may be time dependent. The presence of these vortices produces different residence times of the air in the plenum. Consequently, the heat transfer through the flow from the room above can lead to significant spatial and temporal variation of the air entering the room through different diffusers.",simbuild2004
simbuild2004_SB04T1B4,SB04T1B4,https://publications.ibpsa.org/proceedings/simbuild/2004/papers/simbuild2004_SB04T1B4.pdf,51,59,9,,,"Jon W., Hand; Ryan, Southall","Energy Systems Research Unit, Univ. of Strathclyde, Glasgow, Scotland; The Martin Centre, Cambridge, Great Britain",The Simulation of Hybrid and Natural Ventilation; Can European Skills & Tools Translate into a North American Context?,,"In Europe clients often ask design teams to consider natural and/or hybrid ventilation schemes. There is a belief among many clients and practitioners that such designs improve comfort and productivity, and organizations such as CIBSE recommend such schemes in preference to full air-conditioning. Importantly, both the tools and knowledge to support such designs can be subcontracted for practices without in-house capabilities. In North America, even in regions where natural ventilation has been used in the past, few people are in a position to quantify the performance of such designs and only recently have analysis facilities begun to be included in tools. Catch-22. Clients have had to go outside North America to source tools and professional skills. The authors have been involved in several such exercises and discuss how the skills and tools needed to support such designs questions might become embedded in North American practice.",simbuild2004
simbuild2004_SB04T1C1,SB04T1C1,https://publications.ibpsa.org/proceedings/simbuild/2004/papers/simbuild2004_SB04T1C1.pdf,60,67,8,,,"Michael J., Witte;  Robert H., Henninger;  Drury B., Crawley","GARD Analytics, Inc., Park Ridge, IL; U.S. Department of Energy, Washington, DC",Experience Testing EnergyPlus with the ASHRAE 1052-RP Building Fabric Analytical Tests,,"The EnergyPlus building energy simulation software has been tested using the Building Fabric Analytical Verification Test Suite for Whole Building Energy Simulation Programs which was developed in ASHRAE research project 1052-RP. This test suite is a series of analytical tests for various components of the building fabric. This test suite was initially used to test EnergyPlus beginning with beta versions prior to its official public release, and it is also applied prior to each new public release. The application of these tests proved to be very useful in several ways: Revealed algorithmic errors which were fixed. Revealed algorithmic shortcomings which were improved or eliminated through the use of more rigorous calculations for certain components. In later versions, caught newly introduced bugs before public release of updates. ",simbuild2004
simbuild2004_SB04T1C2,SB04T1C2,https://publications.ibpsa.org/proceedings/simbuild/2004/papers/simbuild2004_SB04T1C2.pdf,68,77,10,,,"David E., Bradley;  Michaël, Kummert;  Timothy P., McDowell","Thermal Energy System Specialists, LLC, Madison, WI; Unversity of Wisconsin-Madison, Solar Energy Laboratory, Madison, WI",Converging on a Recommended Set of Interpretations and Assumptions in Applying Standard Tests to Energy Analysis Tools,,"The authors, having individually applied ANSI/ASHRAE Standard 140-2001 to the simulation program TRNSYS in a previous project, compare their results, simulation assumptions, and interpretations of the Standard's test cases to arrive at a conformed set of recommended practices. Sensitivities to individual assumptions are investigated and results of applying the conformed set of assumptions are presented.",simbuild2004
simbuild2004_SB04T1C3,SB04T1C3,https://publications.ibpsa.org/proceedings/simbuild/2004/papers/simbuild2004_SB04T1C3.pdf,78,85,8,,,"Richard K., Strand;  Richard J., Liesen;  Michael J., Witte","School of Architecture, University of Illinois, Champaign, IL; Department of Mechanical and Industrial Engineering, University of Illinois, Urbana, IL; GARD Analytics, Inc., Park Ridge, IL ",Resources for Teaching Building Energy Simulation,,"This paper describes a variety of training courses that have been created for the EnergyPlus program. EnergyPlus is a whole-building energy analysis simulation program developed under the auspices of the United States Department of Energy. The four different training courses outlined in this paper include a beginner course for engineers with little or no experience in simulation, an experienced user"" course for simulators familiar with other programs, an advanced course for users who want to investigate some of the more sophisticated features of the program, and an university course for students that provides both an introduction to buildings and to simulation. For each course, an overview of the lecture material and problems/workshops that are part of the course as well as the philosophy and availability of the course will be provided. Experiences in using these materials will also be presented.",simbuild2004
